"targetID","cell.mark","wsiName","roiID","cellID.mskcc20171103","xCell","yCell","observer.1","observer.2","observer.3","observer.4","observer.5","truth","modalityID"
"1","1-1","CCB030097HE","ROI01CCB030097HEx7187y4876c","CCB030097HEx7308y4773","7308","4773",1,1,1,1,1,1,"scanner.A"
"2","1-2","CCB030097HE","ROI01CCB030097HEx7187y4876c","Find cell but not in our data frame","7875","5164",1,0,0,0,0,0,"scanner.A"
"3","1-3","CCB030097HE","ROI01CCB030097HEx7187y4876c","CCB030097HEx7516y5162","7516","5162",0,0,0,0,0,0,"scanner.A"
"4","1-4","CCB030097HE","ROI01CCB030097HEx7187y4876c","Cannot find cell","?","?",0,0,0,0,0,0,"scanner.A"
"5","2-1","CCB030097HE","ROI02CCB030097HEx9787y5237c","CCB030097HEx9774y5024","9774","5024",0,1,0,0,0,0,"scanner.A"
"6","2-2","CCB030097HE","ROI02CCB030097HEx9787y5237c","CCB030097HEx9667y5211","9667","5211",1,1,1,1,1,1,"scanner.A"
"7","2-3","CCB030097HE","ROI02CCB030097HEx9787y5237c","CCB030097HEx9410y5370","9410","5370",0,1,0,0,0,1,"scanner.A"
"8","2-4","CCB030097HE","ROI02CCB030097HEx9787y5237c","CCB030097HEx9549y5628","9549","5628",0,1,0,1,0,1,"scanner.A"
"9","2-5","CCB030097HE","ROI02CCB030097HEx9787y5237c","Find cell but not in our data frame","9791","5577",0,0,0,0,0,0,"scanner.A"
"10","2-6","CCB030097HE","ROI02CCB030097HEx9787y5237c","Cannot find cell","?","?",0,0,0,0,0,0,"scanner.A"
"11","3-1","CCB050031HE","ROI03CCB050031HEx4865y16406c","CCB050031HEx5236y16193","5236","16193",0,1,0,0,0,0,"scanner.A"
"12","3-2","CCB050031HE","ROI03CCB050031HEx4865y16406c","CCB050031HEx4842y16465","4842","16465",1,0,0,1,1,0,"scanner.A"
"13","3-3","CCB050031HE","ROI03CCB050031HEx4865y16406c","CCB050031HEx4952y16761","4952","16761",1,1,1,1,1,1,"scanner.A"
"14","3-4","CCB050031HE","ROI03CCB050031HEx4865y16406c","CCB050031HEx5017y16753","5017","16753",0,1,0,0,0,0,"scanner.A"
"15","3-5","CCB050031HE","ROI03CCB050031HEx4865y16406c","Find cell but not in our data frame","4939","16722",0,0,0,0,1,1,"scanner.A"
"16","3-6","CCB050031HE","ROI03CCB050031HEx4865y16406c","Cannot find cell","?","?",0,0,0,0,0,0,"scanner.A"
"17","4-1","CCB030097HE","ROI04CCB030097HEx9390y7873c","Find cell but not in our data frame","9747","7831",0,1,0,0,0,0,"scanner.A"
"18","4-2","CCB030097HE","ROI04CCB030097HEx9390y7873c","CCB030097HEx9542y7863","9542","7863",1,1,1,1,1,1,"scanner.A"
"19","4-3","CCB030097HE","ROI04CCB030097HEx9390y7873c","CCB030097HEx9712y8164","9712","8164",1,1,1,1,1,1,"scanner.A"
"20","4-4","CCB030097HE","ROI04CCB030097HEx9390y7873c","CCB030097HEx9252y8002","9252","8002",0,0,0,0,0,0,"scanner.A"
"21","5-1","CCB010352HE","ROI05CCB010352HEx4840y6893c","Find cell but not in our data frame","4702","7019",0,1,0,0,0,0,"scanner.A"
"22","5-2","CCB010352HE","ROI05CCB010352HEx4840y6893c","Find cell but not in our data frame","4664","7179",0,1,0,0,1,0,"scanner.A"
"23","5-3","CCB010352HE","ROI05CCB010352HEx4840y6893c","CCB010352HEx4828y7183","4828","7183",1,1,0,1,1,1,"scanner.A"
"24","6-1","CCB050031HE","ROI06CCB050031HEx3056y16286c","CCB050031HEx2694y16476","2694","16476",0,1,0,0,0,0,"scanner.A"
"25","6-2","CCB050031HE","ROI06CCB050031HEx3056y16286c","CCB050031HEx3291y16311","3291","16311",0,1,0,0,0,1,"scanner.A"
"26","7-1","CCB050031HE","ROI07CCB050031HEx7761y18015c","CCB050031HEx7714y17809","7714","17809",1,1,1,1,1,1,"scanner.A"
"27","7-2","CCB050031HE","ROI07CCB050031HEx7761y18015c","CCB050031HEx7920y18332","7920","18332",0,1,0,0,0,1,"scanner.A"
"28","7-3","CCB050031HE","ROI07CCB050031HEx7761y18015c","Cannot find cell","?","?",0,0,0,0,0,0,"scanner.A"
"29","8-1","CCB010352HE","ROI08CCB010352HEx11346y5460c","CCB010352HEx11262y5517","11262","5517",0,1,0,0,0,0,"scanner.A"
"30","8-2","CCB010352HE","ROI08CCB010352HEx11346y5460c","CCB010352HEx11529y5422","11529","5422",0,0,0,0,0,0,"scanner.A"
"31","9-1","CCB030179HE","ROI09CCB030179HEx14316y19280c","CCB030179HEx14157y19005","14157","19005",1,1,0,1,0,1,"scanner.A"
"32","9-2","CCB030179HE","ROI09CCB030179HEx14316y19280c","CCB030179HEx14544y18980","14544","18980",0,1,0,0,0,0,"scanner.A"
"33","9-3","CCB030179HE","ROI09CCB030179HEx14316y19280c","Find cell but not in our data frame","14199","19602",0,1,0,0,0,1,"scanner.A"
"34","10-1","CCB030179HE","ROI10CCB030179HEx10061y26460c","CCB030179HEx9834y26279","9834","26279",1,1,1,0,1,1,"scanner.A"
"35","10-2","CCB030179HE","ROI10CCB030179HEx10061y26460c","CCB030179HEx7712y24131","7712","24131",0,1,0,0,0,1,"scanner.A"
"36","10-3","CCB030179HE","ROI10CCB030179HEx10061y26460c","Find cell but not in our data frame","10235","26234",0,1,0,0,0,0,"scanner.A"
"37","10-4","CCB030179HE","ROI10CCB030179HEx10061y26460c","Find cell but not in our data frame","10359","26231",0,1,1,1,0,0,"scanner.A"
"38","10-5","CCB030179HE","ROI10CCB030179HEx10061y26460c","CCB030179HEx9674y26698","9674","26698",0,1,0,0,0,1,"scanner.A"
"39","10-6","CCB030179HE","ROI10CCB030179HEx10061y26460c","CCB030179HEx10150y26759","10150","26759",0,1,0,0,0,0,"scanner.A"
"40","10-7","CCB030179HE","ROI10CCB030179HEx10061y26460c","CCB030179HEx9862y26186","9862","26186",0,0,0,0,0,0,"scanner.A"
"41","11-1","CCB050031HE","ROI11CCB050031HEx5388y17894c","CCB050031HEx5140y17748","5140","17748",1,1,1,0,1,1,"scanner.A"
"42","11-2","CCB050031HE","ROI11CCB050031HEx5388y17894c","CCB050031HEx5651y18023","5651","18023",1,1,1,1,1,1,"scanner.A"
"43","11-3","CCB050031HE","ROI11CCB050031HEx5388y17894c","CCB050031HEx5307y17845","5307","17845",0,0,0,0,0,1,"scanner.A"
"44","12-1","CCB030179HE","ROI12CCB030179HEx13961y22560c","CCB030179HEx14032y22395","14032","22395",1,1,0,0,0,1,"scanner.A"
"45","12-2","CCB030179HE","ROI12CCB030179HEx13961y22560c","Find cell but not in our data frame","14048","22879",0,1,0,0,0,0,"scanner.A"
"46","13-1","CCB030179HE","ROI13CCB030179HEx14582y26372c","CCB030179HEx14462y26638","14462","26638",0,1,0,0,0,0,"scanner.A"
"47","13-2","CCB030179HE","ROI13CCB030179HEx14582y26372c","CCB030179HEx14692y26546","14692","26546",1,1,1,1,0,1,"scanner.A"
"48","14-1","CCB010352HE","ROI14CCB010352HEx8635y4647c","Find cell but not in our data frame","8541","4520",0,0,0,0,0,0,"scanner.A"
"49","15-1","CCB030097HE","ROI15CCB030097HEx5670y6573c","CCB030097HEx5284y6286","5284","6286",0,1,0,0,1,1,"scanner.A"
"50","15-2","CCB030097HE","ROI15CCB030097HEx5670y6573c","CCB030097HEx5881y6200","5881","6200",0,1,0,0,0,0,"scanner.A"
"51","15-3","CCB030097HE","ROI15CCB030097HEx5670y6573c","CCB030097HEx5738y6318","5738","6318",1,1,1,1,1,1,"scanner.A"
"52","15-4","CCB030097HE","ROI15CCB030097HEx5670y6573c","CCB030097HEx5709y6362","5709","6362",1,1,1,0,1,1,"scanner.A"
